# Rime user dictionary
#@/db_name	wanxiang
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	31620
#@/user_id	b05c24aa-c4d6-4bd9-842a-ee5398eb78ba
a 	啊	c=5 d=2.74676 t=31620
bù yí yàng 	不一样	c=6 d=2.41895 t=31620
bù yí zhì 	不一致	c=4 d=1.92426 t=31620
bù yóu xīn 	不由心	c=0 d=0.0909373 t=31620
bù yě 	不也	c=2 d=1.15992 t=31620
bù yě shì 	不也是	c=1 d=0.826959 t=31620
bù yīng gāi 	不应该	c=3 d=1.72555 t=31620
bù yǎn shì 	不演示	c=1 d=0.955997 t=31620
bù yǔ zhì píng 	不予置评	c=5 d=3.82588 t=31620
bù zhuān yè 	不专业	c=4 d=2.94151 t=31620
bù zhí xíng 	不执行	c=3 d=2.46353 t=31620
bù zhī chí 	不支持	c=1 d=0.955997 t=31620
bù zhī dào 	不知道	c=8 d=3.34977 t=31620
bù zhǎng jià 	不涨价	c=4 d=2.58577 t=31620
bù zhǐ 	不止	c=1 d=0.748264 t=31620
bù zhǐ yào 	不只要	c=1 d=0.97531 t=31620
bù zhǔ dòng 	不主动	c=1 d=0.970446 t=31620
bù zú 	不足	c=1 d=0.909373 t=31620
bù ān quán 	不安全	c=1 d=0.941764 t=31620
bú biàn 	不变	c=3 d=2.0748 t=31620
bú bài 	不败	c=0 d=0.0822835 t=31620
bú bì yào 	不必要	c=1 d=0.980199 t=31620
bú chà qián 	不差钱	c=2 d=1.84625 t=31620
bú cuò 	不错	c=7 d=3.84637 t=31620
bú duì 	不对	c=5 d=3.01976 t=31620
bú dà 	不大	c=3 d=1.73713 t=31620
bú dài biǎo 	不代表	c=3 d=1.53157 t=31620
bú dào 	不到	c=2 d=1.40602 t=31620
bú dòng 	不动	c=2 d=0.895717 t=31620
bú fù 	不复	c=0 d=0.0918512 t=31620
bú fù pán 	不复盘	c=1 d=0.923117 t=31620
bú fù rén jiān 	不负人间	c=1 d=0.96079 t=31620
bú fù zé 	不负责	c=1 d=0.97531 t=31620
bú guò 	不过	c=1 d=0.909373 t=31620
bú guò qù 	不过去	c=3 d=1.6724 t=31620
bú gòu 	不够	c=4 d=2.4814 t=31620
bú gòu le 	不够了	c=1 d=0.985111 t=31620
bú huì 	不会	c=23 d=6.1437 t=31620
bú huì chū 	不会出	c=1 d=0.932394 t=31620
bú huì yòng 	不会用	c=1 d=0.955997 t=31620
bú jiàn de 	不见得	c=1 d=0.826959 t=31620
bú jiàn de ba 	不见得吧	c=1 d=0.806541 t=31620
bú jiàn yì 	不建议	c=1 d=0.927743 t=31620
bú jiào 	不叫	c=1 d=0.353455 t=31620
bú jiù 	不就	c=4 d=2.62073 t=31620
bú jiù shì 	不就是	c=1 d=0.941764 t=31620
bú jù bèi 	不具备	c=1 d=0.843665 t=31620
bú kàn 	不看	c=1 d=0.782705 t=31620
bú kào pǔ 	不靠谱	c=1 d=0.651731 t=31620
bú kè guān 	不客观	c=1 d=0.860708 t=31620
bú luàn 	不乱	c=0 d=0.060653 t=31620
bú lùn 	不论	c=1 d=0.937067 t=31620
bú nüè 	不虐	c=1 d=0.951229 t=31620
bú qià dāng 	不恰当	c=1 d=0.218712 t=31620
bú què dìng 	不确定	c=2 d=0.915126 t=31620
bú què dìng xìng 	不确定性	c=1 d=0.88692 t=31620
bú qù sǐ 	不去死	c=0 d=0.0810584 t=31620
bú ràng 	不让	c=2 d=1.3736 t=31620
bú ràng jìn 	不让进	c=1 d=0.941764 t=31620
bú shàn liáng 	不善良	c=1 d=0.733447 t=31620
bú shì 	不是	c=39 d=7.33972 t=31620
bú shì 	不适	c=1 d=0.737124 t=31620
bú shì gǎn 	不适感	c=1 d=0.918512 t=31620
bú shì shuō 	不是说	c=1 d=0.66365 t=31620
bú shì yí gè 	不是一个	c=1 d=0.615697 t=31620
bú suàn 	不算	c=1 d=0.801248 t=31620
bú suàn gāo 	不算高	c=1 d=0.96079 t=31620
bú tài 	不太	c=11 d=5.26634 t=31620
bú tòu míng 	不透明	c=1 d=0.869358 t=31620
bú wài mài 	不外卖	c=1 d=0.794534 t=31620
bú xìn 	不信	c=1 d=0.755783 t=31620
bú yào 	不要	c=50 d=8.26954 t=31620
bú yào yǒu 	不要有	c=1 d=0.697676 t=31620
bú yòng 	不用	c=13 d=3.03407 t=31620
bú yòng le 	不用了	c=1 d=0.970446 t=31620
bú zhèng 	不正	c=2 d=1.74962 t=31620
bú zhèng zhí 	不正直	c=7 d=5.07885 t=31620
bú zhì yú 	不至于	c=0 d=0.0904837 t=31620
bú zài 	不再	c=5 d=2.40617 t=31620
bú zài hū 	不在乎	c=1 d=0.99005 t=31620
bā 	扒	c=1 d=0.941764 t=31620
bā lè 	芭乐	c=1 d=0.96079 t=31620
bā xià 	扒下	c=1 d=0.985111 t=31620
bān 	搬	c=0 d=0.0790571 t=31620
bāng 	帮	c=3 d=2.17121 t=31620
bāng fēn 	帮分	c=1 d=0.786628 t=31620
bāng máng 	帮忙	c=4 d=2.69271 t=31620
bāng wǒ 	帮我	c=157 d=12.6052 t=31620
bāng wǒ fù 	帮我付	c=1 d=0.970446 t=31620
bāng xiáng xì 	帮详细	c=1 d=0.694196 t=31620
bāng zhù 	帮助	c=1 d=0.856415 t=31620
bāo 	包	c=2 d=1.39895 t=31620
bāo guǒ 	包裹	c=1 d=0.565525 t=31620
bāo hán 	包含	c=12 d=4.62032 t=31620
bāo kuò 	包括	c=5 d=1.77834 t=31620
